TRACT_FIPS20	WRKR	EWRKR_TOT	EWRKR_PROP
01001020100	834	651	.7805755138397
01001020200	688	454	.6598837375641
01001020300	1941	1436	.7398248314857
01001020400	1619	939	.5799876451492
01001020501	2302	1509	.6555169224739
01001020502	1118	652	.5831842422485
01001020503	1547	792	.5119586586952
01001020600	1189	813	.6837678551674
01001020700	1434	1058	.7377963662148
01001020801	1404	852	.6068376302719
01001020803	1741	964	.5537047386169
01001020804	2166	1317	.6080332398415
01001020805	1215	770	.6337448358536
01001020901	1761	1340	.7609313130379
01001020902	1335	923	.6913857460022
01001021000	1363	1123	.8239178061485
01001021100	923	854	.9252437949181
01003010100	1281	996	.7775175571442
01003010200	1425	1192	.83649122715
01003010300	3589	2764	.7701309323311
01003010400	2196	1729	.7873406410217
01003010500	2498	1770	.7085668444633
01003010600	1515	1264	.8343234062195
01003010704	2863	1924	.6720223426819
01003010706	1702	1037	.609283208847
01003010707	2237	1275	.5699597597122
01003010708	4635	2519	.5434735417366
01003010709	5008	3634	.7256389856339
01003010710	2928	1973	.6738387942314
01003010711	2013	1275	.6333830356598
01003010800	3286	2304	.701156437397
01003010903	2956	2053	.6945196390152
01003010904	2842	2270	.7987332940102
01003010906	2242	1863	.8309544920921
01003010907	2514	1953	.7768496274948
01003010908	2196	1608	.7322404384613
01003011000	1955	1465	.7493606209755
01003011102	2607	1954	.7495205402374
01003011103	1885	1020	.5411140322685
01003011104	3561	2486	.6981185078621
01003011201	1596	779	.4880952239037
01003011202	2141	1257	.5871088504791
01003011300	2541	1881	.7402597665787
01003011409	2770	2256	.8144404292107
01003011410	3818	2643	.6922472715378
01003011411	1283	1106	.8620420694351
01003011412	1416	1015	.7168079018593
01003011413	2114	1187	.5614947676659
01003011414	1419	1040	.7329105138779
01003011415	631	323	.511885881424
01003011416	565	496	.8778761029243
01003011417	1232	739	.5998376607895
01003011418	751	567	.7549933195114
01003011419	2273	1576	.6933568120003
01003011501	2814	1902	.6759061813354
01003011503	3896	3105	.7969712615013
01003011504	2838	2077	.7318534255028
01003011601	2537	1986	.7828143239021
01003011603	1249	1151	.9215372204781
01003011604	950	583	.6136842370033
01003990000	0	0	 
01005950100	1155	881	.7627705335617
01005950200	962	812	.844074845314
01005950300	706	576	.8158640265465
01005950400	1017	716	.7040314674377
01005950500	1384	1070	.7731214165688
01005950600	774	673	.8695090413094
01005950700	535	381	.7121495604515
01005950800	900	652	.7244444489479
01005950900	1274	988	.7755101919174
01007010001	736	540	.7336956262589
01007010005	1771	1529	.8633540272713
01007010006	579	503	.8687391877174
01007010007	1022	911	.8913894295692
01007010008	1194	914	.7654941082001
01007010009	899	753	.8375973105431
01007010010	1397	1199	.858267724514
01007010011	705	622	.8822695016861
01009050103	673	603	.8959881067276
01009050104	889	678	.7626546621323
01009050105	1941	1477	.7609479427338
01009050106	1237	956	.7728375196457
01009050107	831	703	.8459687232971
01009050200	1611	1375	.8535071611404
01009050301	941	741	.7874601483345
01009050302	1031	840	.8147429823875
01009050400	1571	1229	.7823042869568
01009050501	1637	1262	.7709224224091
01009050502	1383	1020	.7375271320343
01009050601	1511	1221	.8080741167068
01009050603	2193	1773	.8084815144539
01009050604	2280	1513	.6635965108871
01009050701	2140	1827	.8537383079529
01009050702	967	809	.8366080522537
01011952100	471	445	.9447982907295
01011952201	936	850	.9081196784973
01011952202	1295	1092	.8432432413101
01011952500	1305	1012	.7754788994789
01013952700	831	618	.7436823248863
01013952800	550	318	.5781818032265
01013952900	985	714	.7248731255531
01013953000	680	638	.9382352828979
01013953100	883	675	.7644394040108
01013953200	1700	1405	.8264706134796
01013953300	885	717	.8101695179939
01013953400	959	665	.6934306621552
01013953500	498	388	.7791164517403
01015000200	1110	855	.7702702879906
01015000300	964	737	.7645228505135
01015000400	986	845	.8569979667664
01015000500	238	184	.7731092572212
01015000600	498	465	.9337349534035
01015000700	915	854	.933333337307
01015000800	481	414	.8607068657875
01015000900	1746	1127	.6454753875732
01015001000	2702	1936	.7165063023567
01015001101	978	753	.769938647747
01015001102	463	398	.8596112132072
01015001103	1950	1311	.6723076701164
01015001201	1199	984	.8206838965416
01015001202	1880	1636	.8702127933502
01015001300	826	783	.9479418992996
01015001400	1418	1226	.8645980358124
01015001501	1616	1295	.8013613820076
01015001502	481	327	.679833650589
01015001600	1419	1089	.767441868782
01015001700	2495	1799	.7210420966148
01015001801	733	482	.6575716137886
01015001802	1904	1466	.7699579596519
01015002001	1068	926	.8670411705971
01015002002	2138	1514	.7081384658813
01015002101	1152	958	.8315972089767
01015002102	2139	1570	.7339878678322
01015002104	1636	1095	.6693153977394
01015002105	1181	929	.7866215109825
01015002200	1392	1168	.839080452919
01015002300	1300	948	.729230761528
01015002400	1728	1305	.7552083134651
01015002502	1891	1531	.8096245527267
01015002503	1929	1398	.7247278094292
01015002504	1412	1050	.7436260581017
01015002600	1937	1492	.7702633142471
01015981901	0	0	 
01015981902	0	0	 
01015981903	0	0	 
01017953800	1552	1341	.864046394825
01017953900	1345	1080	.802973985672
01017954001	950	677	.7126315832138
01017954002	1429	1120	.783764898777
01017954200	1799	1552	.8627014756203
01017954300	2652	2043	.7703620195389
01017954600	1251	906	.7242206335068
01017954700	2004	1704	.8502994179726
01017954800	1742	1607	.9225028753281
01019955701	1156	893	.7724913358688
01019955702	1482	1264	.8529014587402
01019955801	1047	827	.7898758649826
01019955802	1488	1170	.7862903475761
01019955900	1780	1275	.716292142868
01019956000	1453	1090	.7501720786095
01019956101	607	506	.8336079120636
01019956102	1297	1127	.8689283132553
01021060101	1707	1391	.8148798942566
01021060103	1508	1086	.7201591730118
01021060104	1234	988	.8006482720375
01021060200	1173	822	.7007672786713
01021060300	1649	1484	.8999393582344
01021060401	1960	1500	.7653061151505
01021060403	1338	1176	.8789237737656
01021060404	2712	2482	.9151917695999
01021060500	1320	1047	.7931818366051
01021060600	1270	996	.7842519879341
01021060701	669	617	.9222720265388
01021060702	1212	1103	.9100660085678
01023956700	959	865	.9019812345505
01023956800	1711	1375	.8036236166954
01023956900	1038	864	.8323699235916
01023957000	719	516	.7176634073257
01025957500	585	507	.866666674614
01025957601	391	331	.846547305584
01025957603	804	696	.8656716346741
01025957604	935	767	.8203208446503
01025957700	471	396	.8407643437386
01025957800	1707	1307	.7656707763672
01025957901	1055	873	.8274881243706
01025957902	1158	883	.7625215649605
01025958003	1060	909	.8575471639633
01027958900	2118	1714	.8092539906502
01027959000	1106	898	.8119348883629
01027959100	1518	1256	.827404499054
01027959200	647	587	.9072642922401
01029959500	1118	849	.759391784668
01029959600	1328	1043	.7853915691376
01029959700	1338	1136	.8490284085274
01029959800	2030	1522	.7497537136078
01031010100	940	807	.8585106134415
01031010200	754	552	.7320954799652
01031010300	1834	1234	.6728462576866
01031010400	693	519	.7489177584648
01031010500	1756	1341	.7636674046516
01031010600	582	445	.7646048069
01031010700	1003	813	.8105682730675
01031010800	1334	991	.7428785562515
01031010900	1041	837	.8040345907211
01031011000	1556	1271	.8168380260468
01031011100	783	602	.7688378095627
01031011203	2440	1688	.6918032765388
01031011204	1764	1114	.6315192580223
01031011205	1811	1161	.6410822868347
01031011206	2025	1475	.7283950448036
01031011300	1448	1304	.9005525112152
01033020100	1346	1000	.7429420351982
01033020200	799	742	.9286608099937
01033020300	632	603	.9541139006615
01033020400	748	490	.6550801992416
01033020500	2370	1905	.8037974834442
01033020600	1995	1725	.8646616339684
01033020703	2736	1970	.7200292348862
01033020704	1586	1172	.7389659285545
01033020705	705	528	.7489361763
01033020706	2174	1599	.7355105876923
01033020801	2130	1414	.6638497710228
01033020802	1520	1303	.8572368621826
01033020901	1811	1308	.7222529053688
01033020902	1579	1233	.7808739542961
01033021000	1432	1251	.8736033439636
01035960200	640	534	.8343750238419
01035960300	578	497	.8598616123199
01035960400	1136	911	.8019366264343
01035960500	581	498	.8571428656578
01035960600	1037	907	.8746383786201
01037961000	1132	921	.8136042356491
01037961100	1509	1361	.9019218087196
01037961200	1523	1214	.7971109747887
01039961600	1758	1333	.7582480311394
01039961700	1425	1155	.8105263113976
01039961800	1069	864	.8082320094109
01039961900	936	720	.7692307829857
01039962000	1590	989	.6220125555992
01039962100	648	573	.8842592835426
01039962300	1336	902	.675149679184
01039962400	1227	991	.8076609373093
01039962500	522	455	.8716475367546
01039962600	688	489	.7107558250427
01039962700	636	534	.8396226167679
01039962800	643	515	.8009331226349
01039962900	957	709	.7408568263054
01039963000	1445	1117	.7730103731155
01041963400	758	529	.6978892087936
01041963500	798	620	.7769423723221
01041963600	1225	1059	.8644897937775
01041963700	1647	1263	.7668488025665
01041963800	547	458	.8372943401337
01041963900	640	543	.8484374880791
01043964100	2506	2183	.8711093664169
01043964201	2004	1707	.8517963886261
01043964202	1312	996	.7591463327408
01043964300	2038	1549	.7600588798523
01043964400	1445	1068	.7391003370285
01043964500	2141	1871	.8738906979561
01043964600	1721	1474	.8564788103104
01043964700	2312	1929	.8343425393105
01043964800	1947	1341	.6887519359589
01043964901	1861	1209	.6496507525444
01043964902	1305	901	.690421462059
01043965001	1038	715	.6888246536255
01043965002	1566	1346	.8595147132874
01043965100	1622	1252	.7718865871429
01043965200	1098	782	.7122039794922
01043965300	2151	1753	.8149697780609
01043965401	1075	881	.8195348978043
01043965402	1953	1611	.8248847723007
01043965501	746	609	.8163539171219
01043965502	1660	1412	.850602388382
01043965600	872	648	.7431192398071
01043965700	1028	804	.7821011543274
01045020000	627	419	.6682615876198
01045020100	1264	1143	.9042721390724
01045020200	915	629	.6874316930771
01045020300	941	741	.7874601483345
01045020400	828	530	.6400966048241
01045020500	563	441	.7833037376404
01045020700	788	662	.8401015400887
01045020801	1121	1007	.8983050584793
01045020802	1714	1179	.6878646612167
01045021101	1848	1461	.7905844449997
01045021102	1506	970	.644090294838
01045021200	1255	989	.7880477905273
01045021300	2038	1521	.7463199496269
01045021400	1874	1513	.8073639273643
01047956101	1308	1050	.8027523159981
01047956102	1378	1038	.753265619278
01047956201	1106	812	.7341772317886
01047956202	744	540	.7258064746857
01047956300	1271	960	.7553107738495
01047956400	587	558	.9505962729454
01047956500	838	812	.9689737558365
01047956600	1031	837	.8118331432343
01047956701	979	542	.5536261200905
01047956702	465	223	.4795698821545
01047956800	841	673	.8002378344536
01047956900	685	535	.7810218930244
01047957000	301	219	.7275747656822
01047957100	362	305	.8425414562225
01047957200	616	521	.8457792401314
01047957301	866	810	.9353348612785
01047957302	566	468	.8268551230431
01049960101	849	775	.9128386378288
01049960102	1736	1421	.8185483813286
01049960200	1320	1081	.8189393877983
01049960301	560	435	.7767857313156
01049960302	569	494	.8681898117065
01049960303	1824	1505	.8251096606255
01049960401	606	528	.8712871074677
01049960402	2346	1489	.6346973776817
01049960500	2822	2239	.7934089303017
01049960601	482	351	.7282157540321
01049960602	2087	1600	.7666506767273
01049960701	746	672	.9008042812347
01049960702	741	566	.7638326883316
01049960703	2059	1703	.8271005153656
01049960800	1615	1297	.8030959963799
01049960900	1689	1437	.8507992625237
01049961000	1843	1504	.8160607814789
01049961100	1520	1318	.8671052455902
01049961200	987	611	.6190476417542
01049961300	2144	1617	.7541977763176
01049961400	1643	1240	.7547169923782
01051030101	1535	1298	.8456026315689
01051030102	592	458	.7736486196518
01051030103	590	459	.7779660820961
01051030200	1919	1444	.7524752616882
01051030300	988	808	.8178137540817
01051030401	1443	1148	.7955647706985
01051030402	2060	1612	.7825242877007
01051030500	1981	1505	.7597172856331
01051030600	2477	1953	.7884537577629
01051030701	3959	1718	.4339479804039
01051030702	1721	1176	.6833236217499
01051030801	1314	1023	.7785388231277
01051030802	1682	1014	.6028537750244
01051030901	3083	2010	.6519623994827
01051030902	1856	1400	.7543103694916
01051031001	1490	957	.6422818899155
01051031002	1626	1019	.6266912817955
01051031100	1876	1337	.7126865386963
01051031200	588	462	.7857142686844
01051031300	2156	1662	.7708719968796
01053969801	272	268	.9852941036224
01053969802	1933	1738	.8991205096245
01053969900	1433	1128	.7871598005295
01053970100	2009	1304	.649079144001
01053970200	546	406	.743589758873
01053970300	1252	1035	.8266773223877
01053970400	1376	1008	.732558131218
01053970500	1534	1261	.8220338821411
01053970600	1073	1055	.9832246303558
01053970700	1115	931	.8349775671959
01055000200	1143	919	.8040245175362
01055000300	654	576	.8807339668274
01055000400	1359	998	.7343634963036
01055000500	676	670	.9911242723465
01055000600	998	930	.9318637251854
01055000700	327	306	.9357798099518
01055000800	471	435	.9235668778419
01055000900	982	885	.9012219905853
01055001000	423	375	.8865247964859
01055001100	2155	1363	.6324825882912
01055001200	1425	1155	.8105263113976
01055001300	1516	1325	.8740105628967
01055001600	1351	1163	.8608438372612
01055001700	632	535	.8465189933777
01055010100	887	760	.8568207621574
01055010201	980	746	.7612245082855
01055010202	1155	1054	.9125540852547
01055010300	1010	790	.7821782231331
01055010401	1528	1212	.7931936979294
01055010402	2178	1539	.7066115736961
01055010503	2128	1469	.6903195381165
01055010504	1782	1127	.6324354410172
01055010505	1037	762	.7348119616508
01055010506	940	816	.8680850863457
01055010601	2490	1751	.7032128572464
01055010602	1591	1384	.8698931336403
01055010700	1722	1358	.7886179089546
01055010800	1154	1012	.8769497275352
01055010900	853	671	.7866353988647
01055011001	1987	1618	.8142929077148
01055011002	2018	1692	.8384538888931
01055011100	2225	1867	.8391011357307
01055011200	1225	1141	.9314285516739
01057020000	658	575	.873860180378
01057020100	1348	1136	.842729985714
01057020200	1645	1195	.7264437675476
01057020300	1445	1101	.7619377374649
01057020400	1327	1213	.9140919446945
01059972900	1487	1119	.7525218725204
01059973000	2174	1811	.8330267071724
01059973100	1082	801	.7402957677841
01059973200	1874	1555	.8297758698463
01059973300	1130	857	.7584070563316
01059973400	1046	772	.738049685955
01059973500	1366	845	.6185944080353
01059973600	613	539	.8792822360992
01059973701	420	375	.8928571343422
01059973702	452	370	.8185840845108
01059973703	1375	1185	.8618181943893
01061050100	1657	1259	.7598068714142
01061050200	992	732	.7379032373428
01061050300	2113	1772	.8386180996895
01061050400	2378	1925	.8095037937164
01061050500	1906	1480	.7764952778816
01061050600	1630	1080	.662576675415
01063060000	475	427	.8989473581314
01063060101	589	399	.6774193644524
01063060102	673	600	.8915304541588
01063060200	664	544	.8192771077156
01065040000	1462	1221	.8351573348045
01065040100	541	360	.6654343605042
01065040200	320	227	.7093750238419
01065040300	837	491	.5866189002991
01065040401	719	547	.7607788443565
01065040402	865	638	.7375722527504
01065040500	518	380	.733590722084
01067030100	724	578	.798342525959
01067030200	843	601	.7129300236702
01067030300	998	787	.7885771393776
01067030400	782	587	.7506393790245
01067030500	2955	2111	.7143824100494
01067030600	651	529	.8125960230827
01069040100	2879	2239	.7777006030083
01069040203	1320	772	.5848484635353
01069040204	2776	1806	.6505763530731
01069040205	2765	1809	.654249548912
01069040206	1744	1174	.6731651425362
01069040301	1641	1308	.7970749735832
01069040302	1703	1340	.7868467569351
01069040400	1057	625	.5912961363792
01069040500	1662	1177	.7081829309464
